보증금은 임대차 계약의 일부입니다。	Security deposit is a part of the lease agreement.
보증금은 일반적으로 월세의 몇 달 분과 같습니다。	Typically, the security deposit equals several months' rent.
임대인은 보증금을 사용할 수 있는 상황이 없어야 합니다。	The landlord may not use the security deposit unless justified.
보증금은 계약 종료 시 반환됩니다。	The security deposit shall be returned upon contract termination.
보증금은 건물 유지 관리비로 차감될 수 있습니다。	Security deposit can be deducted for building maintenance expenses.
임차인의 손해를 보상하기 위해 보증금이 차감될 수도 있습니다。	Security deposit may be reduced to cover damages caused by the tenant.
보증금 차감 사항은 이전 점검 기록을 통해 결정됩니다。	Deductions from security deposit are determined through previous inspection records.
임차인은 보증금 반환 시 건물 상태를 확인할 권리가 있습니다。	Tenants have the right to inspect the condition of the building upon return of the security deposit.
보증금은 임대인이 제공하는 보증금 환급 보험을 통해 보호될 수 있습니다。	Security deposit can be protected through a landlord-provided security deposit refund insurance.
보증금 반환 시에는 임차인의 계좌로 직접 입금됩니다。	The security deposit will be directly deposited into the tenant's account upon return.
보증금은 계약 기간 동안 안전하게 보관될 것입니다。	The security deposit will be safely kept during the contract period.
임대인이 보증금을 차감할 수 있는 사유는 명확히 정해져 있습니다。	Clear reasons are specified for when a landlord can deduct from the security deposit.
보증금은 계약 종료 시에만 반환될 수 있습니다。	Security deposit may only be returned upon contract termination.
임차인이 이전 점검에서 발견한 문제를 신고해야 합니다。	Tenants should report issues found during previous inspections.
보증금 차감 사유는 서면으로 통지되어야 합니다。	Reasons for security deposit deductions must be communicated in writing.
보증금은 계약 기간 동안 변경될 수 없습니다。	Security deposit cannot be changed during the contract period.
임차인이 보증금을 반환받기 전에 건물 상태를 확인할 수 있습니다。	Tenants can inspect the building's condition before receiving their security deposit back.
보증금 차감은 임차인에게 통보되어야 합니다。	Security deposit deductions must be notified to the tenant.
보증금은 계약 종료 시에만 반환될 수 있으며, 이전 점검 기록을 통해 결정됩니다。	The security deposit will only be returned upon contract termination and is determined through previous inspection records.
